项集 0: novel, A
项集 3163: Bounded, for
项集 3164: la, et
项集 3165: la, de
项集 3166: la, and
项集 3167: la, en
项集 3168: la, pour
项集 3169: Model., Based
项集 3170: Model., for
项集 3171: Model., in
项集 3172: Model., and
项集 3173: Model., the
项集 3174: Model., with
项集 3175: Model., a
项集 3176: Selection, Based
项集 3177: Selection, for
项集 3178: Selection, in
项集 3179: Selection, and
项集 3180: Selection, the
项集 3181: Selection, Algorithm
项集 3182: Sensors, Using
项集 3183: Sensors, Based
项集 3184: Sensors, for
项集 3185: Sensors, Sensor
项集 3186: Sensors, in
项集 3187: Sensors, and
项集 3188: Sensors, the
项集 3189: support, for
项集 3190: Platform, and
项集 3191: Testing, Using
项集 3192: Testing, CoRR
项集 3193: Testing, for
项集 3194: Testing, in
项集 3195: Testing, and
项集 3196: Clustering., for
项集 3197: Robust, using
项集 3198: Robust, CoRR
项集 3199: Robust, for
项集 3200: Robust, in
项集 3201: Robust, and
项集 3202: Robust, the
项集 3203: Robust, via
项集 3204: Robust, with
项集 3205: Robust, a
项集 3206: Robust, Control
项集 3207: during, and
项集 3208: scheduling, networks.
项集 3209: scheduling, for
项集 3210: scheduling, in
项集 3211: scheduling, and
项集 3212: scheduling, with
项集 3213: scheduling, a
项集 3214: software, for
项集 3215: software, in
项集 3216: software, and
项集 3217: software, the
项集 3218: CDC, systems
项集 3219: CDC, for
项集 3220: CDC, in
项集 3221: CDC, and
项集 3222: CDC, control
项集 3223: CDC, with
项集 3224: von, in
项集 3225: Modeling, Based
项集 3226: Modeling, for
项集 3227: Modeling, in
项集 3228: Modeling, and
项集 3229: Modeling, the
项集 3230: Modeling, with
项集 3231: Modeling, a
项集 3232: properties, and
项集 3233: Localization, CoRR
项集 3234: Localization, for
项集 3235: Localization, in
项集 3236: Localization, with
项集 3237: Evolution, and
项集 3238: Evolution, the
项集 3239: social, for
项集 3240: social, in
项集 3241: social, and
项集 3242: social, a
项集 3243: model, for
项集 3244: model, in
项集 3245: model, and
项集 3246: model, the
项集 3247: model, with
项集 3248: model, a
项集 3249: Privacy, for
项集 3250: Privacy, in
项集 3251: Privacy, and
项集 3252: Processing., for
项集 3253: Systems:, for
项集 3254: Systems:, the
项集 3255: Mechanism, for
项集 3256: Mechanism, in
项集 3257: Mechanism, and
项集 3258: 3D, Using
项集 3259: 3D, using
项集 3260: 3D, CoRR
项集 3261: 3D, for
项集 3262: 3D, in
项集 3263: 3D, Human
项集 3264: 3D, and
项集 3265: 3D, the
项集 3266: 3D, a
项集 3267: ACM, Proceedings
项集 3268: ACM, the
项集 3269: Home, Page
项集 3270: Their, and
项集 3271: analysis., for
项集 3272: analysis., in
项集 3273: analysis., a
项集 3274: Performance., and
项集 3275: Framework, Hierarchical
项集 3276: Framework, CoRR
项集 3277: Framework, for
项集 3278: Framework, in
项集 3279: Framework, and
项集 3280: Framework, the
项集 3281: Framework, a
项集 3282: Framework, Distributed
项集 3283: Grid, in
项集 3284: Grid, and
项集 3285: structures, and
项集 3286: Dual, for
项集 3287: pattern, for
项集 3288: routing, using
项集 3289: routing, for
项集 3290: routing, in
项集 3291: Resolution, for
项集 3292: Error, for
项集 3293: Error, in
项集 3294: Error, and
项集 3295: Error, the
项集 3296: Programming, for
项集 3297: Programming, in
项集 3298: Programming, and
项集 3299: Programming, the
项集 3300: Programming, with
项集 3301: Interactive, for
项集 3302: Interactive, and
项集 3303: estimation, using
项集 3304: estimation, for
项集 3305: estimation, in
项集 3306: estimation, and
项集 3307: estimation, the
项集 3308: estimation, with
项集 3309: Structured, for
项集 3310: framework, for
项集 3311: framework, and
项集 3312: framework, a
项集 3313: Traffic, for
项集 3314: Traffic, in
项集 3315: Traffic, and
项集 3316: Domain, for
项集 3317: Domain, and
项集 3318: Systematic, for
项集 3319: Generalized, for
项集 3320: surface, for
项集 3321: Assessment, for
项集 3322: Assessment, and
项集 3323: test, for
项集 3324: Analysis:, and
项集 3325: Rate, for
项集 3326: Rate, in
项集 3327: Ensemble, for
项集 3328: J. Chem. Inf. Model., and
项集 3329: J. Chem. Inf. Model., the
项集 3330: Improving, using
项集 3331: Improving, for
项集 3332: Improving, in
项集 3333: Improving, and
项集 3334: Improving, the
项集 3335: Improving, with
项集 3336: Genetic, for
项集 3337: Genetic, in
项集 3338: Genetic, Algorithm
项集 3339: Methods, Using
项集 3340: Methods, for
项集 3341: Methods, in
项集 3342: Methods, and
项集 3343: Methods, the
项集 3344: Part, and
项集 3345: Part, the
项集 3346: solution, for
项集 3347: Parameter, for
项集 3348: Making, and
项集 3349: Requirements, for
项集 3350: Requirements, and
项集 3351: interaction, for
项集 3352: interaction, a
项集 3353: modeling, for
项集 3354: modeling, and
项集 3355: Embedded, for
项集 3356: Embedded, and
项集 3357: Wirel. Pers. Commun., in
项集 3358: Ad, in
项集 3359: Sensing, for
项集 3360: Sensing, Spectrum
项集 3361: Sensing, in
项集 3362: Sensing, and
项集 3363: grid, for
项集 3364: motion, for
项集 3365: Single, for
项集 3366: Single, in
项集 3367: Single, and
项集 3368: Single, with
项集 3369: Single, a
项集 3370: Role, in
项集 3371: Role, and
项集 3372: Role, the
项集 3373: PIMRC, for
项集 3374: PIMRC, and
项集 3375: presence, in
项集 3376: presence, the
项集 3377: human, for
项集 3378: human, in
项集 3379: human, and
项集 3380: human, a
项集 3381: Proceedings, Italy,
项集 3382: Proceedings, for
项集 3383: Proceedings, and
项集 3384: Proceedings, the
项集 3385: Proceedings, Workshop
项集 3386: Proceedings, Conference
项集 3387: Image, Using
项集 3388: Image, Based
项集 3389: Image, CoRR
项集 3390: Image, for
项集 3391: Image, in
项集 3392: Image, and
项集 3393: Image, the
项集 3394: Image, with
项集 3395: Clust. Comput., for
项集 3396: Exploration, for
项集 3397: Exploration, the
项集 3398: Point, for
项集 3399: Benefits, and
项集 3400: Benefits, the
项集 3401: Results, and
项集 3402: Normal, for
项集 3403: Generator, for
项集 3404: Surface, Based
项集 3405: Surface, for
项集 3406: Compact, and
项集 3407: Joint, CoRR
项集 3408: Joint, for
项集 3409: Joint, and
项集 3410: Content, for
项集 3411: Content, and
项集 3412: System., Using
项集 3413: System., Based
项集 3414: System., for
项集 3415: System., in
项集 3416: System., and
项集 3417: System., the
项集 3418: System., an
项集 3419: System., a
项集 3420: System., Distributed
项集 3421: artificial, using
项集 3422: global, for
项集 3423: global, and
项集 3424: Load, Balancing
项集 3425: Load, for
项集 3426: Load, in
项集 3427: feature, for
项集 3428: WSC, for
项集 3429: WSC, a
项集 3430: Integrating, for
项集 3431: Integrating, and
项集 3432: Integrating, the
项集 3433: integration, for
项集 3434: integration, and
项集 3435: integration, the
项集 3436: Systems., Using
项集 3437: Systems., Communication
项集 3438: Systems., Estimation
项集 3439: Systems., CoRR
项集 3440: Systems., for
项集 3441: Systems., in
项集 3442: Systems., and
项集 3443: Systems., the
项集 3444: Systems., with
项集 3445: Systems., Channel
项集 3446: Systems., a
项集 3447: Systems., Distributed
项集 3448: Systems., Management
项集 3449: Systems., Control
项集 3450: IEEE Trans. Commun., for
项集 3451: IEEE Trans. Commun., and
项集 3452: IEEE Trans. Commun., the
项集 3453: Multimedia, for
项集 3454: Multimedia, and
项集 3455: Process., for
项集 3456: comprehensive, a
项集 3457: Binary, for
项集 3458: Numerical, for
项集 3459: Numerical, in
项集 3460: Numerical, and
项集 3461: Numerical, the
项集 3462: Workflow, for
项集 3463: Simple, and
项集 3464: path, for
项集 3465: Internet, for
项集 3466: Internet, in
项集 3467: Internet, and
项集 3468: Internet, the
项集 3469: Internet, Things.
项集 3470: Vector, for
项集 3471: Vector, Support
项集 3472: process, for
项集 3473: process, in
项集 3474: process, and
项集 3475: process, the
项集 3476: detection., for
项集 3477: Signals, and
项集 3478: Shape, for
项集 3479: Shape, and
项集 3480: IT, and
项集 3481: IT, the
项集 3482: Task, at
项集 3483: Task, for
项集 3484: Task, and
项集 3485: recognition, using
项集 3486: recognition, for
项集 3487: recognition, in
项集 3488: recognition, and
项集 3489: recognition, the
项集 3490: recognition, with
项集 3491: Comput. Math. Appl., the
项集 3492: Towards, CoRR
项集 3493: Towards, for
项集 3494: Towards, in
项集 3495: Towards, and
项集 3496: Towards, the
项集 3497: Towards, a
项集 3498: Optimizing, for
项集 3499: Designing, for
项集 3500: Designing, a
项集 3501: Shared, for
项集 3502: Using, Based
项集 3503: Using, Neural
项集 3504: Using, Estimation
项集 3505: Using, CoRR
项集 3506: Using, Efficient
项集 3507: Using, for
项集 3508: Using, Sensor
项集 3509: Using, Improve
项集 3510: Using, Recognition
项集 3511: Using, in
项集 3512: Using, Pattern
项集 3513: Using, Human
项集 3514: Using, and
项集 3515: Using, Classification
项集 3516: Using, the
项集 3517: Using, an
项集 3518: Using, Parallel
项集 3519: Using, Smart
项集 3520: Using, with
项集 3521: Using, Real-Time
项集 3522: Using, Study
项集 3523: Using, Algorithm
项集 3524: Using, a
项集 3525: Using, Scheme
项集 3526: Using, Images.
项集 3527: Using, Control
项集 3528: management, for
项集 3529: management, in
项集 3530: management, the
项集 3531: management, a
项集 3532: hoc, for
项集 3533: hoc, ad
项集 3534: Generative, CoRR
项集 3535: Generative, for
项集 3536: Hardware, and
项集 3537: its, and
项集 3538: its, Application
项集 3539: its, a
项集 3540: schemes, for
项集 3541: Concurr. Comput. Pract. Exp., for
项集 3542: Secure, for
项集 3543: Secure, in
项集 3544: Secure, and
项集 3545: Functional, in
项集 3546: polynomial, for
项集 3547: Personal, in
项集 3548: Personal, and
项集 3549: using, segmentation
项集 3550: using, systems
项集 3551: using, Neural
项集 3552: using, Estimation
项集 3553: using, IGARSS
项集 3554: using, J. Intell. Fuzzy Syst.
项集 3555: using, coding
项集 3556: using, CoRR
项集 3557: using, networks.
项集 3558: using, for
项集 3559: using, in
项集 3560: using, and
项集 3561: using, case
项集 3562: using, the
项集 3563: using, an
项集 3564: using, control
项集 3565: using, images
项集 3566: using, with
项集 3567: using, detection
项集 3568: using, a
项集 3569: using, algorithm.
项集 3570: using, analysis
项集 3571: Tracking., for
项集 3572: Standard, for
项集 3573: Standard, in
项集 3574: face, for
项集 3575: partitioning, for
项集 3576: segmentation, for
项集 3577: segmentation, and
项集 3578: Segmentation., CoRR
项集 3579: Segmentation., for
项集 3580: Segmentation., and
项集 3581: Enterprise, for
项集 3582: Enterprise, and
项集 3583: Inference, for
项集 3584: planning, for
项集 3585: planning, and
项集 3586: planning, with
项集 3587: Dynamics, in
项集 3588: Dynamics, the
项集 3589: systems, linear
项集 3590: systems, for
项集 3591: systems, in
项集 3592: systems, and
项集 3593: systems, the
项集 3594: systems, control
项集 3595: systems, with
项集 3596: systems, a
项集 3597: dynamics, in
项集 3598: Software, for
项集 3599: Software, in
项集 3600: Software, and
项集 3601: Software, the
项集 3602: Software, a
项集 3603: Evaluation., and
项集 3604: constraints., with
项集 3605: Networked, in
项集 3606: Anomaly, CoRR
项集 3607: Anomaly, for
项集 3608: Anomaly, Detection.
项集 3609: Anomaly, and
项集 3610: Codes, for
项集 3611: Codes, and
项集 3612: scientific, for
项集 3613: scientific, in
项集 3614: Algorithms, for
项集 3615: Algorithms, in
项集 3616: Algorithms, and
项集 3617: Algorithms, the
项集 3618: Regression, and
项集 3619: Problems., for
项集 3620: Communication, for
项集 3621: Communication, in
项集 3622: Communication, and
项集 3623: Communication, a
项集 3624: Theor. Comput. Sci., and
项集 3625: packet, for
项集 3626: Complexity, CoRR
项集 3627: Complexity, for
项集 3628: Complexity, in
项集 3629: Complexity, and
项集 3630: Framework., and
项集 3631: cellular, for
项集 3632: reference, for
项集 3633: reference, and
项集 3634: Action, for
项集 3635: Action, and
项集 3636: Acoustic, for
项集 3637: Balancing, in
项集 3638: CT, and
项集 3639: structure, for
项集 3640: structure, and
项集 3641: structure, the
项集 3642: structure, with
项集 3643: Based, Neural
项集 3644: Based, CoRR
项集 3645: Based, for
项集 3646: Based, Recognition
项集 3647: Based, in
项集 3648: Based, Graph
项集 3649: Based, Research
项集 3650: Based, and
项集 3651: Based, Classification
项集 3652: Based, the
项集 3653: Based, an
项集 3654: Based, with
项集 3655: Based, Algorithm
项集 3656: Based, a
项集 3657: Based, Scheme
项集 3658: Based, Distributed
项集 3659: Based, Clustering
项集 3660: Based, Management
项集 3661: sensor, networks.
项集 3662: sensor, for
项集 3663: sensor, in
项集 3664: sensor, and
项集 3665: sensor, wireless
项集 3666: Issues, in
项集 3667: collaborative, for
项集 3668: collaborative, in
项集 3669: collaborative, and
项集 3670: Persistent, in
项集 3671: research, and
项集 3672: Moving, for
项集 3673: Algorithm., in
项集 3674: Neural, CoRR
项集 3675: Neural, for
项集 3676: Neural, Recognition
项集 3677: Neural, in
项集 3678: Neural, Graph
项集 3679: Neural, and
项集 3680: Neural, Classification
项集 3681: Neural, the
项集 3682: Neural, via
项集 3683: Neural, with
项集 3684: Neural, Algorithm
项集 3685: Neural, a
项集 3686: Neural, Control
项集 3687: solutions, for
项集 3688: Hierarchical, for
项集 3689: Hierarchical, and
项集 3690: Estimation, CoRR
项集 3691: Estimation, for
